Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Fra-tid,Til-tid,Alnabru NO2 µg/m³,QA,QC,Bygdøy Alle NO2 µg/m³,QA,QC,Hjortnes NO2 µg/m³,QA,QC,Kirkeveien NO2 µg/m³,QA,QC,Manglerud NO2 µg/m³,QA,QC,Rv 4- Aker sykehus NO2 µg/m³,QA,QC
03.12.2016 00:00,03.12.2016 01:00,82.5,0,4,69.3,0,4,75.8,0,4,54.3,0,4,64.6,0,4,57.4,0,4
03.12.2016 01:00,03.12.2016 02:00,68.1,0,4,83.8,0,4,107.7,0,4,48.1,0,4,39.2,0,4,61.8,0,4
03.12.2016 02:00,03.12.2016 03:00,68.2,0,4,76.7,0,4,88.4,0,4,65.2,0,4,34.2,0,4,46.4,0,4
03.12.2016 03:00,03.12.2016 04:00,73.3,0,4,71,0,4,90.8,0,4,59.5,0,4,27.8,0,4,52.4,0,4
03.12.2016 04:00,03.12.2016 05:00,63,0,4,62.5,0,4,72.8,0,4,50.5,0,4,43.9,0,4,33.3,0,4
03.12.2016 05:00,03.12.2016 06:00,64.7,0,4,51.9,0,4,63.6,0,4,47.7,0,4,33.2,0,4,28.9,0,4
03.12.2016 06:00,03.12.2016 07:00,62.7,0,4,54.5,0,4,76.9,0,4,49.5,0,4,40.4,0,4,39.4,0,4
03.12.2016 07:00,03.12.2016 08:00,65.7,0,4,70.2,0,4,86.8,0,4,52.1,0,4,49.4,0,4,49.8,0,4
03.12.2016 08:00,03.12.2016 09:00,71.8,0,4,75,0,4,105,0,4,59.2,0,4,73.6,0,4,41.5,0,4
03.12.2016 09:00,03.12.2016 10:00,76.6,0,4,83.3,0,4,136.7,0,4,70.1,0,4,55.2,0,4,82.1,0,4
03.12.2016 10:00,03.12.2016 11:00,77.3,0,4,101.1,0,4,136.5,0,4,74.5,0,4,80.8,0,4,86.8,0,4
03.12.2016 11:00,03.12.2016 12:00,86.2,0,4,107,0,4,113.6,0,4,70.2,0,4,108.9,0,4,94.8,0,4
03.12.2016 12:00,03.12.2016 13:00,86.5,0,4,118.1,0,4,102.3,0,4,81,0,4,86,0,4,92.5,0,4
03.12.2016 13:00,03.12.2016 14:00,91.2,0,4,128.4,0,4,105.7,0,4,96.3,0,4,158.6,0,4,92.6,0,4
03.12.2016 14:00,03.12.2016 15:00,96.7,0,4,100.6,0,4,126.9,0,4,104.5,0,4,140.7,0,4,88.7,0,4
03.12.2016 15:00,03.12.2016 16:00,95,0,4,90.3,0,4,132.8,0,4,105.5,0,4,144.6,0,4,109.1,0,4
03.12.2016 16:00,03.12.2016 17:00,79.4,0,4,102.2,0,4,133.2,0,4,81.7,0,4,154,0,4,92.8,0,4
03.12.2016 17:00,03.12.2016 18:00,66.9,0,4,114.3,0,4,125.4,0,4,72,0,4,125.1,0,4,90.1,0,4
03.12.2016 18:00,03.12.2016 19:00,52.2,0,4,131.2,0,4,128.6,0,4,71,0,4,124.3,0,4,92.4,0,4
03.12.2016 19:00,03.12.2016 20:00,57.9,0,4,101.9,0,4,128.7,0,4,86.2,0,4,88.2,0,4,67.3,0,4
03.12.2016 20:00,03.12.2016 21:00,65.6,0,4,89.8,0,4,133.4,0,4,80.2,0,4,101.1,0,4,64.1,0,4
03.12.2016 21:00,03.12.2016 22:00,63.4,0,4,76.9,0,4,105.5,0,4,68,0,4,77.8,0,4,71.2,0,4
03.12.2016 22:00,03.12.2016 23:00,60.2,0,4,64.6,0,4,95.3,0,4,61.5,0,4,74.3,0,4,47.6,0,4
03.12.2016 23:00,04.12.2016 00:00,53.5,0,4,58.9,0,4,86,0,4,54.4,0,4,54.6,0,4,37.4,0,4
04.12.2016 00:00,04.12.2016 01:00,49.1,0,4,59.7,0,4,83.2,0,4,52.5,0,4,53.2,0,4,74.6,0,4
04.12.2016 01:00,04.12.2016 02:00,40.6,0,4,49.9,0,4,96.3,0,4,50.3,0,4,51.4,0,4,45.7,0,4
04.12.2016 02:00,04.12.2016 03:00,36.2,0,4,59.1,0,4,72.2,0,4,41.9,0,4,52,0,4,43.7,0,4
04.12.2016 03:00,04.12.2016 04:00,33.4,0,4,53.2,0,4,72.2,0,4,42.7,0,4,57.6,0,4,55.7,0,4
04.12.2016 04:00,04.12.2016 05:00,32.2,0,4,53,0,4,64.2,0,4,42.7,0,4,34.1,0,4,53.9,0,4
04.12.2016 05:00,04.12.2016 06:00,30.5,0,4,41.7,0,4,47.8,0,4,30.6,0,4,39.4,0,4,31.3,0,4
04.12.2016 06:00,04.12.2016 07:00,39.2,0,4,47.6,0,4,44.8,0,4,30.4,0,4,25.9,0,4,29.2,0,4
