Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid,Alnabru NO2 µg/m³ Hour,Dekning,Bygdøy Alle NO2 µg/m³ Hour,Dekning,Hjortnes NO2 µg/m³ Hour,Dekning,Kirkeveien NO2 µg/m³ Hour,Dekning,Manglerud NO2 µg/m³ Hour,Dekning,Rv 4- Aker sykehus NO2 µg/m³ Hour,Dekning,Åkebergveien NO2 µg/m³ Hour,Dekning
01.01.2019 00:00,,,,,,,,,,,,,,
01.01.2019 01:00,33.5641474003,100,30.999882605,100,21.6898220945,100,40.6486875453,100,15.852489172,100,30.7023982235,100,19.8362033474,100
01.01.2019 02:00,34.2476350693,100,56.7449377078,100,68.4876412969,100,45.0500955753,100,38.9915427103,100,17.2075019234,100,45.7185559721,100
01.01.2019 03:00,16.6130116941,100,57.8749766303,100,13.1489918753,100,24.3936846141,100,14.5044457859,100,27.9564579151,100,34.0261424326,100
01.01.2019 04:00,3.999303764,100,22.2098195138,100,2.6645653316,100,10.5704635963,100,4.284916499,100,14.565040576,100,6.7328204076,100
01.01.2019 05:00,2.527675742,100,25.145446976,100,1.1392147053,100,14.5449677417,100,2.9357770914,100,8.6980771425,100,3.7755153329,100
01.01.2019 06:00,3.5787160817,100,31.0088581124,100,4.4253373595,100,18.8553322356,100,2.1654648532,100,10.3910561958,100,7.3664693382,100
01.01.2019 07:00,8.2049524361,100,27.3963370902,100,9.8635363526,100,9.5947482696,100,6.408801323,100,5.3090133936,100,7.1530337322,100
01.01.2019 08:00,6.9450862253,100,16.5762839369,100,2.4620998308,100,1.5343822796,100,9.302124115,100,1.7650658205,100,3.7714637117,100
01.01.2019 09:00,10.4958107584,100,24.2453297588,100,13.890545769,100,1.6828560041,100,7.5674813425,100,4.3214961198,100,5.2524187555,100
01.01.2019 10:00,12.1930871882,100,43.8877240922,100,35.8232503584,100,4.7666184158,100,9.3038316518,100,15.7211225342,100,12.2294795018,100
01.01.2019 11:00,10.3017598429,100,54.7464307965,100,26.1327210788,100,10.5132734891,100,6.0260307525,100,5.7501861368,100,9.4822929607,100
01.01.2019 12:00,15.5538568432,100,37.8394403084,100,19.1662763111,100,2.4898590127,100,8.1478029871,100,4.8886176056,100,4.4105994647,100
01.01.2019 13:00,10.0773540168,100,20.8930691806,100,21.8607724851,100,2.8133692105,100,13.9326500027,100,6.0680915684,100,4.4134994464,100
01.01.2019 14:00,11.5418935974,100,20.9003732614,100,24.9864362132,100,2.3687899826,100,14.8979149166,100,3.5438776533,100,3.5717207573,100
01.01.2019 15:00,6.0914747386,100,25.860549267,100,31.3287806645,100,3.5786131505,100,19.5271358794,100,2.3270322864,100,5.9000847078,100
01.01.2019 16:00,9.0215969341,100,23.1516397451,100,32.016368483,100,3.0188542925,100,17.4062345603,100,4.2620988255,100,5.2643554614,100
