Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid,Alnabru NO2 µg/m³ Hour,Dekning,Bygdøy Alle NO2 µg/m³ Hour,Dekning,Hjortnes NO2 µg/m³ Hour,Dekning,Kirkeveien NO2 µg/m³ Hour,Dekning,Manglerud NO2 µg/m³ Hour,Dekning,Rv 4- Aker sykehus NO2 µg/m³ Hour,Dekning
01.01.2021 00:00,,,,,,,,,,,,
01.01.2021 01:00,17.457880295,100,21.7645581033,100,12.2790451478,100,23.8881651883,100,23.8399039768,100,19.9158386802,100
01.01.2021 02:00,13.9978459926,100,17.0395313553,100,13.1371572615,100,9.5725124464,100,18.738759699,100,9.6754587668,100
01.01.2021 03:00,11.7448019336,100,12.50002714,100,10.3373055547,100,9.5409450416,100,15.786888099,100,14.8984457186,100
01.01.2021 04:00,8.9882176839,100,11.0775015086,100,6.6758761206,100,5.7411793671,100,11.2571531062,100,10.8524504159,100
01.01.2021 05:00,5.982095138,100,9.4163701733,100,4.738364311,100,5.8199616475,100,8.1111242745,100,6.493737975,100
01.01.2021 06:00,5.511603377,100,6.7334506851,100,4.5236328365,100,3.5873108495,100,5.1647432105,100,5.7289866773,100
01.01.2021 07:00,5.4950074397,100,4.6694506839,100,3.4475614251,100,3.464152109,100,4.9654399814,100,5.2814629888,100
01.01.2021 08:00,7.2384945607,100,7.1436121563,100,5.3850149015,100,2.7354370691,100,7.1311709432,100,11.0785822178,100
01.01.2021 09:00,7.9658768349,100,10.8359912707,100,9.2616531336,100,2.9852594699,100,6.3394675197,100,9.6267308505,100
01.01.2021 10:00,7.9854097413,100,9.8243799526,100,7.3225927411,100,3.6597307238,100,7.1308746455,100,4.9018972777,100
01.01.2021 11:00,9.7560570408,100,12.28352555,100,11.1982326235,100,3.503007692,100,8.3092488615,100,4.9329693089,100
01.01.2021 12:00,8.7775955886,100,19.5264839105,100,17.0045361844,100,4.2130960574,100,12.4378359307,100,4.4067307298,100
01.01.2021 13:00,9.6000844501,100,17.2709166944,100,22.813793657,100,5.0114415936,100,24.0645463451,100,6.9839311896,100
