Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Fra-tid,Til-tid,Alnabru NO2 µg/m³,QA,QC,Bygdøy Alle NO2 µg/m³,QA,QC,Hjortnes NO2 µg/m³,QA,QC,Kirkeveien NO2 µg/m³,QA,QC,Manglerud NO2 µg/m³,QA,QC,Rv 4- Aker sykehus NO2 µg/m³,QA,QC
01.01.2022 00:00,01.01.2022 01:00,23.8,0,4,28.5,0,4,36.5,0,4,37.2,0,4,41.1,0,4,34.4,0,4
01.01.2022 01:00,01.01.2022 02:00,26.8,0,4,26.7,0,4,37.2,0,4,36.6,0,4,55.4,0,4,31.6,0,4
01.01.2022 02:00,01.01.2022 03:00,29.2,0,4,27.7,0,4,38.1,0,4,31.1,0,4,53.5,0,4,36,0,4
01.01.2022 03:00,01.01.2022 04:00,29.4,0,4,26.7,0,4,34.3,0,4,32.4,0,4,40.9,0,4,25.6,0,4
01.01.2022 04:00,01.01.2022 05:00,29.6,0,4,26.6,0,4,27.4,0,4,35.7,0,4,34.7,0,4,14.1,0,4
01.01.2022 05:00,01.01.2022 06:00,28.5,0,4,25.1,0,4,29.2,0,4,32.2,0,4,29.3,0,4,15.4,0,4
01.01.2022 06:00,01.01.2022 07:00,23,0,4,27,0,4,26.7,0,4,26.3,0,4,26.2,0,4,6.8,0,4
01.01.2022 07:00,01.01.2022 08:00,21.9,0,4,27.2,0,4,30.6,0,4,20.9,0,4,28.4,0,4,12.9,0,4
01.01.2022 08:00,01.01.2022 09:00,21.1,0,4,21.9,0,4,30.3,0,4,16.5,0,4,30.9,0,4,22.9,0,4
01.01.2022 09:00,01.01.2022 10:00,24.7,0,4,22.8,0,4,32.8,0,4,28.2,0,4,37.3,0,4,25.2,0,4
01.01.2022 10:00,01.01.2022 11:00,26,0,4,21,0,4,37.2,0,4,26.2,0,4,40.6,0,4,20.2,0,4
01.01.2022 11:00,01.01.2022 12:00,21.7,0,4,25.8,0,4,40.2,0,4,25,0,4,33.8,0,4,31.9,0,4
01.01.2022 12:00,01.01.2022 13:00,21.1,0,4,23.5,0,4,39.1,0,4,26.8,0,4,49.3,0,4,30.5,0,4
01.01.2022 13:00,01.01.2022 14:00,19.4,0,4,29.6,0,4,50.4,0,4,30.8,0,4,64.4,0,4,37.4,0,4
01.01.2022 14:00,01.01.2022 15:00,24.3,0,4,25.8,0,4,63.9,0,4,35.5,0,4,68.1,0,4,38.5,0,4
01.01.2022 15:00,01.01.2022 16:00,20.8,0,4,44.1,0,4,61.5,0,4,38.1,0,4,65.4,0,4,36.6,0,4
01.01.2022 16:00,01.01.2022 17:00,27.5,0,4,39.3,0,4,48.9,0,4,33.8,0,4,70.6,0,4,41.8,0,4
01.01.2022 17:00,01.01.2022 18:00,25.3,0,4,31.5,0,4,41.3,0,4,32.3,0,4,58.2,0,4,17.2,0,4
01.01.2022 18:00,01.01.2022 19:00,26.8,0,4,26.3,0,4,39.2,0,4,20.4,0,4,53.2,0,4,15.2,0,4
01.01.2022 19:00,01.01.2022 20:00,27.3,0,4,30.9,0,4,46.4,0,4,23.2,0,4,52,0,4,15.6,0,4
01.01.2022 20:00,01.01.2022 21:00,33,0,4,25.6,0,4,46.4,0,4,20.5,0,4,51,0,4,23.3,0,4
01.01.2022 21:00,01.01.2022 22:00,38.4,0,4,29.1,0,4,37.4,0,4,21.5,0,4,54.3,0,4,13.2,0,4
01.01.2022 22:00,01.01.2022 23:00,40.1,0,4,33.2,0,4,44.2,0,4,20.1,0,4,39.6,0,4,26.1,0,4
01.01.2022 23:00,02.01.2022 00:00,32.6,0,4,23.8,0,4,27.8,0,4,14.5,0,4,47,0,4,17.8,0,4
02.01.2022 00:00,02.01.2022 01:00,24.9,0,4,34.2,0,4,37.6,0,4,12,0,4,34.6,0,4,21.8,0,4
02.01.2022 01:00,02.01.2022 02:00,18.9,0,4,22.7,0,4,33.8,0,4,17.3,0,4,28.1,0,4,17.1,0,4
02.01.2022 02:00,02.01.2022 03:00,16.8,0,4,23.2,0,4,27.1,0,4,11.7,0,4,19.6,0,4,18.4,0,4
02.01.2022 03:00,02.01.2022 04:00,22.4,0,4,30.1,0,4,39.8,0,4,11.4,0,4,24.8,0,4,17.9,0,4
02.01.2022 04:00,02.01.2022 05:00,38.4,0,4,26.3,0,4,33.8,0,4,22.9,0,4,30.6,0,4,25.1,0,4
02.01.2022 05:00,02.01.2022 06:00,35.2,0,4,22.2,0,4,23.3,0,4,21.3,0,4,26.5,0,4,27,0,4
02.01.2022 06:00,02.01.2022 07:00,41.6,0,4,16.8,0,4,12.8,0,4,16.6,0,4,18.1,0,4,26,0,4
02.01.2022 07:00,02.01.2022 08:00,45,0,4,18.5,0,4,27,0,4,19,0,4,17.3,0,4,19.5,0,4
02.01.2022 08:00,02.01.2022 09:00,47.2,0,4,28.5,0,4,26.3,0,4,18.7,0,4,33.5,0,4,15.3,0,4
02.01.2022 09:00,02.01.2022 10:00,38,0,4,28.1,0,4,45.8,0,4,25.9,0,4,44.8,0,4,25.3,0,4
02.01.2022 10:00,02.01.2022 11:00,38,0,4,31.5,0,4,41.2,0,4,25.9,0,4,47.9,0,4,26.4,0,4
02.01.2022 11:00,02.01.2022 12:00,39.9,0,4,36.4,0,4,50.6,0,4,31.4,0,4,58.5,0,4,26.1,0,4
02.01.2022 12:00,02.01.2022 13:00,39.7,0,4,36.4,0,4,53,0,4,36.4,0,4,61.5,0,4,32.8,0,4
02.01.2022 13:00,02.01.2022 14:00,43.6,0,4,39,0,4,53,0,4,41.1,0,4,67.4,0,4,32.5,0,4
02.01.2022 14:00,02.01.2022 15:00,46.6,0,4,39.9,0,4,65.8,0,4,45.3,0,4,68.4,0,4,25.8,0,4
02.01.2022 15:00,02.01.2022 16:00,44.2,0,4,53.3,0,4,64.5,0,4,41.2,0,4,67.6,0,4,44,0,4
02.01.2022 16:00,02.01.2022 17:00,40.3,0,4,50.3,0,4,71.1,0,4,42.4,0,4,69.7,0,4,35.3,0,4
02.01.2022 17:00,02.01.2022 18:00,48,0,4,51.6,0,4,62.1,0,4,35.9,0,4,54,0,4,36.6,0,4
02.01.2022 18:00,02.01.2022 19:00,50.2,0,4,46.5,0,4,58.5,0,4,32,0,4,70.1,0,4,22.3,0,4
02.01.2022 19:00,02.01.2022 20:00,48.2,0,4,42.1,0,4,60.6,0,4,26,0,4,65.3,0,4,29,0,4
02.01.2022 20:00,02.01.2022 21:00,29.8,0,4,40.4,0,4,13.2,0,4,30,0,4,34.4,0,4,30.4,0,4
02.01.2022 21:00,02.01.2022 22:00,24.1,0,4,29.8,0,4,16.5,0,4,21.3,0,4,38.6,0,4,25,0,4
02.01.2022 22:00,02.01.2022 23:00,16.8,0,4,21.6,0,4,8.6,0,4,15,0,4,21.7,0,4,16.7,0,4
02.01.2022 23:00,03.01.2022 00:00,17.7,0,4,23.1,0,4,10.3,0,4,11.8,0,4,19.5,0,4,14.1,0,4
03.01.2022 00:00,03.01.2022 01:00,15.1,0,4,19.6,0,4,11.5,0,4,11.7,0,4,12,0,4,14.4,0,4
03.01.2022 01:00,03.01.2022 02:00,14,0,4,14.3,0,4,12.1,0,4,9.1,0,4,16.1,0,4,9.4,0,4
03.01.2022 02:00,03.01.2022 03:00,14.7,0,4,11.3,0,4,10.7,0,4,9.1,0,4,12.2,0,4,11,0,4
03.01.2022 03:00,03.01.2022 04:00,11.3,0,4,12.2,0,4,17.7,0,4,7.4,0,4,11.5,0,4,10.2,0,4
03.01.2022 04:00,03.01.2022 05:00,18.3,0,4,12.8,0,4,14.6,0,4,6.6,0,4,14.6,0,4,9.4,0,4
03.01.2022 05:00,03.01.2022 06:00,21.5,0,4,16.1,0,4,15,0,4,9.4,0,4,29.8,0,4,11.1,0,4
